Model,Clean OOD Acc (mean ± std),Reward Drop (mean ± std),Seeds
Baseline (0%),0.5970 ± 0.0000,1.4920 ± 0.0059,3
Defended 25%,0.5963 ± 0.0012,1.4907 ± 0.0133,3
